ID,pIC50,activity,Canonical SMILES
lit1,1.41,inactive,OC(=O)CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N(C1(C)C)OS(=O)(=O)O
lit2,1.96,inactive,CCC(C(C)C)C=CC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C
lit3,1.99,inactive,O=C(C(c1ccccc1)C(=O)O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
lit4,2.32,inactive,O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CCC2(C1=CC[C@@]1([C@H]2CC(C)(C)CC1)C)C)C)C
CHEMBL1379384,2.51,inactive,CCCc1ccc(cc1)C(=O)CCC(=O)O
lit5,2.61,inactive,COc1cc(/C=C/C(=C/C(=O)/C=C/c2ccc(c(c2)OC)O)/O)ccc1O
CHEMBL582878,2.71,inactive,OC(=O)CCCc1c[nH]c2c1cccc2
lit6,2.85,inactive,OC(=O)[C@@H]1N2[C@H](O/C/1=C\CO)CC2=O
CHEMBL1327484,2.97,inactive,OC(=O)CSc1ccnc2c1ccc(c2)Cl
lit7,3.01,inactive,COC(=O)c1sc(c(c1OCc1nnn[nH]1)OCc1nnn[nH]1)C(=O)OC
lit8,3.03,inactive,Oc1cc(O)c2c(c1)O[C@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O
lit9,3.12,inactive,CC(c1ccc(c(c1)O)C)C
lit10,3.16,inactive,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
lit11,3.21,inactive,OC(=O)C(c1cscc1)C(=O)O
lit12,3.22,inactive,OC(=O)/C=C/c1ccc(c(c1)O)O
lit13,3.22,inactive,OC(=O)[C@@H](Cc1ccc(c(c1)O)O)O
lit14,3.23,inactive,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](Cc2c(c1)O)O
lit15,3.24,inactive,O=C1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3
lit16,3.26,inactive,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(c(c2)OC)O)ccc1O
lit19,3.3,inactive,OC(=O)[C@@H]1CCCN1C(=O)c1ccccc1S
lit17,3.3,inactive,OC(=O)[C@H]1CCCN1C(=O)c1ccccc1S
lit18,3.3,inactive,SC[C@@H](C(=O)N1CCC[C@H]1C(=O)O)C
lit20,3.32,inactive,N#Cc1coc2c(c1=O)cccc2
CHEMBL3278535,3.32,inactive,N#Cc1coc2c(c1=O)cccc2
lit21,3.36,inactive,O=Cc1ccc(c(c1)O)OC
lit22,3.49,inactive,SC[C@@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)O)C
lit23,3.53,inactive,NC(=S)N/N=C\1/c2ccccc2N(C1=O)C
lit24,3.55,inactive,Oc1ccc2c(c1)[nH]c1c2CCN=C1C
