ID,pIC50,activity,Original SMILES
lit1,1.41,inactive,O=C(O)CO\N=C(\c(cs1)nc1N)C(=O)N[C@@H](C2(C)C)C(=O)N2OS(=O)(=O)O
lit2,1.96,inactive,CC(C)C(CC)C=CC(C)C1CCC(C12C)C3C(CC2)C4(C)C(=CC3)CC(O)CC4
lit3,1.99,inactive,c1ccccc1C(C(=O)O)C(=O)N[C@H](C2=O)[C@H](N23)SC(C)(C)[C@@H]3C(=O)O
lit4,2.32,inactive,C1C[C@H](O)C(C)(C)[C@@H]([C@]12C)CC[C@]3(C)[C@@H]2CCC4(C)C3=CC[C@]5(C)[C@H]4CC(C)(C)CC5
CHEMBL1379384,2.51,inactive,CCCc1ccc(C(=O)CCC(=O)O)cc1
lit5,2.61,inactive,Oc1ccc(cc1OC)/C=C/C(=O)/C=C(\O)/C=C/c2cc(OC)c(O)cc2
CHEMBL582878,2.71,inactive,O=C(O)CCCc1c[nH]c2ccccc12
lit6,2.85,inactive,O=C1C[C@H](N12)OC(\[C@@H]2C(=O)O)=C/CO
CHEMBL1327484,2.97,inactive,O=C(O)CSc1ccnc2cc(Cl)ccc12
lit7,3.01,inactive,n1nn[nH]c1COc2c(C(=O)OC)sc(C(=O)OC)c2OCc3nnn[nH]3
lit8,3.03,inactive,Oc1c(O)cc(cc1O)C(=O)O[C@H](Cc(c23)c(O)cc(c3)O)[C@@H](O2)c4cc(O)c(O)c(c4)O
lit9,3.12,inactive,CC(C)c1cc(O)c(C)cc1
lit10,3.16,inactive,CC(C)[C@H]1[C@H](O)C[C@H](C)CC1
lit11,3.21,inactive,O=C(O)C(C(=O)O)c1ccsc1
lit12,3.22,inactive,O=C(O)/C=C/c1cc(O)c(O)cc1
lit13,3.22,inactive,O=C(O)[C@H](O)Cc1cc(O)c(O)cc1
lit14,3.23,inactive,Oc(c1)cc(O)c(c12)C[C@H](O)[C@H](O2)c3cc(O)c(O)cc3
lit15,3.24,inactive,[C@@]123[C@@H]4[C@H](C)CC[C@H]3[C@@H](C)C(=O)O[C@@H]2O[C@](C)(OO1)CC4
lit16,3.26,inactive,Oc1ccc(cc1OC)/C=C/C(=O)CC(=O)/C=C/c2cc(OC)c(O)cc2
lit19,3.3,inactive,O=C(O)[C@@H]1CCCN1C(=O)c2c(S)cccc2
lit17,3.3,inactive,O=C(O)[C@H]1CCCN1C(=O)c2c(S)cccc2
lit18,3.3,inactive,SC[C@H](C)C(=O)N1CCC[C@H]1C(=O)O
lit20,3.32,inactive,N#Cc(co1)c(=O)c(c12)cccc2
CHEMBL3278535,3.32,inactive,N#Cc1coc2ccccc2c1=O
lit21,3.36,inactive,O=Cc1cc(O)c(cc1)OC
lit22,3.49,inactive,SC[C@H](C)C(=O)N[C@H](C(=O)O)Cc1ccc(O)cc1
lit23,3.53,inactive,NC(=S)N/N=C(\C(=O)N1C)c(c12)cccc2
lit24,3.55,inactive,CC1=NCCc(c12)c3c([nH]2)cc(O)cc3
lit25,3.55,inactive,n1nn[nH]c1Cc2c(C(C(=O)O)C(=O)O)cc(s2)Cc3nnn[nH]3
lit26,3.58,inactive,CC1=NCCc(c12)c3c([nH]2)cccc3
lit27,3.58,inactive,SCC(N)C(=O)NCC(=O)NC(C(=O)O)Cc1cnc[nH]1
lit28,3.59,inactive,O=C(O)/C=C/c1cc(OC)c(O)cc1
lit29,3.6,inactive,SCC(N)C(=O)NCC(=O)NC(C(=O)O)C(C)C
lit30,3.61,inactive,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)C(=CC3)C[C@@H](O)CC4
lit32,3.63,inactive,SC[C@H](C)C(=O)N[C@H](C(=O)O)Cc1ccccc1
lit31,3.63,inactive,SCC(N)C(=O)NC(C(=O)O)C(C)C
lit33,3.64,inactive,C1(=CC=C(I)C=C1)[S](=O)(=O)NCC2=C(COC(O)C)[N]N=N2
lit34,3.65,inactive,NC(=S)N/N=C1\C(=O)Nc(c12)cccc2
lit35,3.67,inactive,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O
lit36,3.68,inactive,Cc1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc(C)cc4)C5=O)cc3C2=O)cc1
lit37,3.71,inactive,COc(cc1)c(OC)c(c12)c[n+]3c(c2)c4c(CC3)cc5c(c4)OCO5
lit38,3.74,inactive,SCC(N)C(=O)NC(C(=O)O)Cc1cnc[nH]1
lit39,3.76,inactive,C1=CSC=C1CN(CC(=O)O)CC(=O)O
lit40,3.79,inactive,Oc1ccc(cc1)[C@@H](N)C(=O)N[C@H](C2=O)[C@H](N23)SCC(=C3C(=O)O)/C=C/C
lit42,3.8,inactive,CC1=NCCc(c12)c3c([nH]2)cc(cc3)OC
lit41,3.8,inactive,Oc1ccc(cc1O)CC(C(=O)O)OC(=O)/C=C/c2ccc(O)c(O)c2/C=C/c3cc(O)c(O)cc3
lit43,3.83,inactive,[S](C1=CC=C(I)C=C1)(NCC2=C(N=N[N]2)NC3CCCCC3)(=O)=O
lit44,3.84,inactive,Cc1nccc(c12)c3c([nH]2)cc(cc3)OC
lit46,3.84,inactive,[S](C1=CC=C(C)C=C1)(NCC2=C(N=N[N]2)NC3CCCCC3)(=O)=O
lit45,3.84,inactive,SCC(N)C(=O)NCC(=O)NC(C(=O)O)Cc1ccccc1
lit47,3.85,inactive,[S](C1=CC=C(C)C=C1)(NCC2=C(N=N[N]2)COC(C)(C)C)(=O)=O
lit48,3.87,inactive,SCC(C)C(=O)Nc1ccccc1
lit49,3.88,inactive,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
lit52,3.92,inactive,C(C(=O)O)NCC(=O)O
lit51,3.92,inactive,CC(CC(C(N[C@@H](CC1=CC=CC=C1)C(NC)=O)=O)CS)C
lit50,3.92,inactive,SCC(C)C(=O)NCCS(=O)(=O)C
lit53,3.93,inactive,OB(O)c(s1)cc(c12)cccc2NC(=O)OC(C)(C)C
lit55,3.95,inactive,c1ccccc1[C@@H](N)C(=O)N[C@H](C2=O)[C@H](N23)SC(C)(C)[C@@H]3C(=O)OCOC(=O)[C@H]4C(C)(C)S(=O)(=O)[C@@H](N45)CC5=O
lit54,3.95,inactive,SCC(N)C(=O)NC(C(=O)O)Cc1ccccc1
lit56,3.96,inactive,O=C(O)[C@H]1C(C)(C)S[C@@H](N12)[C@@H](C2=O)NC(=O)C(CC)Oc3ccccc3
lit58,3.97,inactive,Cc1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc(C)cc4C)C5=O)cc3C2=O)c(C)c1
lit57,3.97,inactive,Nc1nc(cs1)/C(=N/OC)C(=O)N[C@H](C2=O)[C@H](N23)SCC(=C3C([O-])=O)C[N+]4(C)CCCC4
lit59,4.01,inactive,C1=CC=C2C(=C1)C(=O)NS2
lit60,4.01,inactive,[S](C1=CC(=CC=C1Cl)Cl)(NCC2=C(N=N[N]2)NC3CCCCC3)(=O)=O
lit61,4.02,inactive,c1ccsc1CC(=O)NC(C)C(=O)SCC(=O)O
lit62,4.03,inactive,O=C(O)[C@@H](C)NC[C@@H](C(=O)O)NC[C@H](N)C(=O)O
lit65,4.04,inactive,C(=O)(O)CN(CC1=CC(=CS1)C)CC(=O)O
lit64,4.04,inactive,C1=C(C=CC(=C1)Cl)C(=O)NNC([S-])=S
lit63,4.04,inactive,SC[C@H](C)C(=O)NOC
lit66,4.07,inactive,C1=CC=C2C(=C1)C(=O)N(S2)CCO
lit67,4.07,inactive,CC1NCCc(c12)c3c([nH]2)cc(cc3)OC
lit69,4.08,inactive,CC(C(=O)NCC(=O)O)S
lit68,4.08,inactive,CC(S)C(=O)NCC(=O)O
lit70,4.09,inactive,CC(C)(C1)[C@@H]([C@H]12)CCC(\C)=C\CCC2=C
lit71,4.09,inactive,O=C(O)[C@H](C)CS
lit72,4.09,inactive,[S](C1=CC=C(I)C=C1)(NCC2=C(N=N[N]2)NC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)(=O)=O
lit74,4.12,inactive,C(C(=O)O)NCP(=O)(O)O
lit73,4.12,inactive,C1CC(N(C1)C(=O)C(CS)CS)C(=O)O
lit76,4.14,inactive,c1ccccc1C(CC(=O)C)c(c(=O)o2)c(O)c(c23)cccc3
lit75,4.14,inactive,SC[C@H](C)C(=O)N[C@@H](C(=O)O)Cc1ccc(O)cc1
lit77,4.16,inactive,OB(O)c(s1)cc(c12)cc(C)cc2
lit81,4.17,inactive,C1=C(C=CC(=C1)O)C(=O)NNC([S-])=S
lit79,4.17,inactive,O=C(O)CO\N=C(\c(cs1)nc1N)C(=O)N[C@H](C2=O)[C@H](N23)SCC(C=C)=C3C(=O)O
lit80,4.17,inactive,Oc(c1)cc(O)c(c12)c(=O)cc(o2)-c3ccccc3
lit78,4.17,inactive,SCC(N)C(=O)NC(C(=O)O)CC(=O)O
lit82,4.18,inactive,C1=CSC(=C1)CN(CC(=O)O)CC(=O)O
lit84,4.19,inactive,OB(O)c(s1)cc(c12)cc(CBr)cc2
lit83,4.19,inactive,SC[C@H](C)C(=O)N[C@@H](C(=O)O)Cc(c[nH]1)c(c12)cccc2
lit85,4.19,inactive,SC[C@H](C)C(=O)N1CCC[C@@H]1C(=O)O
lit86,4.2,inactive,C(CCC1=CC=CC=C1)(=O)NNC([S-])=S
lit87,4.21,inactive,O=C(O)[C@@H](CS)NC(=O)OCC1c(cccc2)c2c(c13)cccc3
