ID,pIC50,activity,SMILES
lit546,3.55,inactive,[C@](C1=CC=C(O)C=C1)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit540,4.74,inactive,[C@](CC(N)=O)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit544,4.42,inactive,[C@](CC1=CC=C(O)C=C1)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit545,4.27,inactive,[C@](CC1=CC=C(OP(O)(=O)O)C=C1)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit547,4.37,inactive,[C@](CC1=CC=CS1)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit542,4,inactive,[C@](CC1=CC2=CC=CC=C2N1)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit541,4,inactive,[C@](CCCNC(=N)N)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit543,4.1,inactive,[C@](CO)(C(=O)O)NC[C@@](C(O)=O)NC[C@@](C(O)=O)N
lit222,3.24,inactive,[C@@]123[C@@H]4[C@H](C)CC[C@H]3[C@@H](C)C(=O)O[C@@H]2O[C@](C)(OO1)CC4
lit93,4.92,inactive,[nH]1nnnc1C(CS)CCCc2ccccc2
lit140,6.14,active,[O-][N+](=O)c(c1)ccc(c12)[nH]c(n2)NC(=O)CSc3n(N)c(nn3)Cc4ccccc4
lit143,6.77,active,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3[nH]c(nn3)-c4c(N)cccc4
lit138,5.23,intermediate,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3[nH]c(nn3)-c4c(O)cccc4
lit144,5.96,intermediate,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3n(N)c(nn3)-c4c(N)cccc4
lit137,5.89,intermediate,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3oc(nn3)-c4c(O)cccc4
lit139,6.3,active,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3oc(nn3)Cc4ccccc4
lit142,5.6,intermediate,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3sc(nn3)-c4c(N)cccc4
lit136,5.19,intermediate,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3sc(nn3)-c4c(O)cccc4
lit141,5.29,intermediate,[O-][N+](=O)c(cc1)cc(c12)[nH]c(n2)NC(=O)CSc3sc(nn3)-c4cc([N+]([O-])=O)ccc4
lit321,4.01,inactive,[S](C1=CC(=CC=C1Cl)Cl)(NCC2=C(N=N[N]2)NC3CCCCC3)(=O)=O
lit319,3.85,inactive,[S](C1=CC=C(C)C=C1)(NCC2=C(N=N[N]2)COC(C)(C)C)(=O)=O
lit320,3.84,inactive,[S](C1=CC=C(C)C=C1)(NCC2=C(N=N[N]2)NC3CCCCC3)(=O)=O
lit323,4.09,inactive,[S](C1=CC=C(I)C=C1)(NCC2=C(N=N[N]2)NC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)(=O)=O
lit322,3.83,inactive,[S](C1=CC=C(I)C=C1)(NCC2=C(N=N[N]2)NC3CCCCC3)(=O)=O
lit108,5.47,intermediate,Brc1ccc(cc1)NC(=S)N/N=C2\C(=O)Nc(c23)c(Cl)ccc3
lit647,5.59,intermediate,BrCC(=O)C(=O)O
lit566,6,active,C([N+]([O-])=O)1=CC=C(O)C2=NC=CC=C12
lit589,5.73,intermediate,C(/C1=C(Cl)C=C(Cl)C=C1)=C\C(=O)NOC(=O)OCC
lit561,4.76,inactive,C(/C1=CC=C(N(=O)=O)C=C1)=N\NC(=S)N
lit671,4.59,inactive,C(/C1=CC=C(O)C=C1)=N\NC(NC1=C(C)C=CC=C1)=S
lit667,4.75,inactive,C(/C1=CC=C(O)C=C1)=N\NC(NC1=C(CC)C=CC=C1)=S
lit669,4.7,inactive,C(/C1=CC=C(O)C=C1)=N\NC(NC1=CC=C(C)C=C1)=S
lit668,4.81,inactive,C(/C1=CC=C(O)C=C1)=N\NC(NC1=CC=C(Cl)C=C1)=S
lit672,4.1,inactive,C(/C1=CC=C(O)C=C1)=N\NC(NC1CCCCC1)=S
lit673,4.1,inactive,C(/C1=CC=C(O)C=C1)=N\NC(NCC)=S
lit588,5.2,intermediate,C(/C1=CC=CC=C1)=C/C(O)NOC(=O)OCC
lit659,5.16,intermediate,C(/C1=CC=CC=C1O)=N\NC(=S)N
lit664,6.38,active,C(/C1=CC=CC=C1O)=N\NC(NC1=C(C)C=CC=C1)=S
lit660,6.33,active,C(/C1=CC=CC=C1O)=N\NC(NC1=C(CC)C=CC=C1)=S
lit662,6.55,active,C(/C1=CC=CC=C1O)=N\NC(NC1=CC=C(C)C=C1)=S
lit661,6.92,active,C(/C1=CC=CC=C1O)=N\NC(NC1=CC=C(Cl)C=C1)=S
